b,lmax,fitness_difference
0.00001,0.7374749498997996,6.380465020217052e-8
0.00001,0.7394789579158316,6.380114586646002e-8
0.00001,0.7414829659318637,6.379764073971561e-8
0.00001,0.7434869739478958,6.379413475254836e-8
0.00001,0.7454909819639278,6.379062793271384e-8
0.00001,0.7474949899799599,6.378712032184541e-8
0.00001,0.749498997995992,6.378361186443193e-8
0.00001,0.751503006012024,6.378010260210676e-8
0.00001,0.7535070140280561,6.377659254874768e-8
0.00001,0.7555110220440882,6.377308164884354e-8
0.00001,0.7575150300601202,6.376956991627214e-8
0.00001,0.7595190380761523,6.376605739266683e-8
0.00001,0.7615230460921844,6.376254403639425e-8
0.00001,0.7635270541082164,6.375902987520998e-8
0.00001,0.7655310621242485,6.375551483972508e-8
0.00001,0.7675350701402806,6.375199902708406e-8
0.00001,0.7695390781563125,6.374848239565356e-8
0.00001,0.7715430861723446,6.374496490380022e-8
0.00001,0.7735470941883766,6.374144662091297e-8
0.00001,0.7755511022044087,6.373792753311402e-8
0.00001,0.7775551102204408,6.373440759877003e-8
0.00001,0.7795591182364728,6.373088683175876e-8
0.00001,0.7815631262525049,6.372736530146916e-8
0.00001,0.783567134268537,6.37238429385123e-8
0.00001,0.785571142284569,6.372031975676595e-8
0.00001,0.7875751503006011,6.371679564520782e-8
0.00001,0.7895791583166332,6.371327082588252e-8
0.00001,0.7915831663326652,6.370974514613437e-8
0.00001,0.7935871743486973,6.37062185782078e-8
0.00001,0.7955911823647294,6.370269127475847e-8
0.00001,0.7975951903807614,6.369916315251967e-8
0.00001,0.7995991983967935,6.36956341837358e-8
0.00001,0.8016032064128256,6.369210436840689e-8
0.00001,0.8036072144288576,6.368857380367743e-8
0.00001,0.8056112224448897,6.368504233689176e-8
0.00001,0.8076152304609218,6.368151012070555e-8
0.00001,0.8096192384769538,6.367797700246314e-8
0.00001,0.8116232464929859,6.367444309318682e-8
0.00001,0.813627254509018,6.367090835124323e-8
0.00001,0.81563126252505,6.366737276275458e-8
0.00001,0.8176352705410821,6.366383643874318e-8
0.00001,0.8196392785571142,6.366029921267558e-8
0.00001,0.8216432865731462,6.36567611539407e-8
0.00001,0.8236472945891783,6.36532223319275e-8
0.00001,0.8256513026052104,6.364968266336923e-8
0.00001,0.8276553106212424,6.364614210663255e-8
0.00001,0.8296593186372745,6.364260081437312e-8
0.00001,0.8316633266533066,6.363905862005748e-8
0.00001,0.8336673346693386,6.363551564858572e-8
0.00001,0.8356713426853707,6.363197188608005e-8
0.00001,0.8376753507014028,6.362842722151818e-8
0.00001,0.8396793587174348,6.36248817659224e-8
0.00001,0.8416833667334669,6.362133549153715e-8
0.00001,0.843687374749499,6.361778835672904e-8
0.00001,0.845691382765531,6.361424043088704e-8
0.00001,0.8476953907815631,6.361069165849997e-8
0.00001,0.8496993987975952,6.360714206732343e-8
0.00001,0.8517034068136272,6.36035916573574e-8
0.00001,0.8537074148296593,6.360004044247969e-8
0.00001,0.8557114228456913,6.359648833942355e-8
0.00001,0.8577154308617234,6.35929354592113e-8
0.00001,0.8597194388777555,6.358938170469841e-8
0.00001,0.8617234468937875,6.35858271869072e-8
0.00001,0.8637274549098196,6.358227178093756e-8
0.00001,0.8657314629258517,6.357871552842287e-8
0.00001,0.8677354709418837,6.357515854038542e-8
0.00001,0.8697394789579158,6.35716006225362e-8
0.00001,0.8717434869739479,6.356804196916421e-8
0.00001,0.8737474949899798,6.356448245536939e-8
0.00001,0.8757515030060119,6.356092206727393e-8
0.00001,0.877755511022044,6.355736092977793e-8
0.00001,0.879759519038076,6.355379890410351e-8
0.00001,0.8817635270541081,6.355023605963961e-8
0.00001,0.8837675350701402,6.35466724241418e-8
0.00001,0.8857715430861722,6.354310791434337e-8
0.00001,0.8877755511022043,6.353954259963324e-8
0.00001,0.8897795591182364,6.353597642450026e-8
